obsID,species,class,order,year,month,day,dcmlLng,dcmlLtt,indvdlC,bssOfRc,firename,fireyear,firesize,fireID,n_observations
8859,Empidonax traillii,Aves,Passeriformes,2016,9,4,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873,52
10878,Empidonax traillii,Aves,Passeriformes,1998,5,16,-115.33627,35.160686,1,HUMAN_OBSERVATION,WILDHORSE,2005,63771.3,565,31
11082,Uma inornata,Reptilia,Squamata,2004,4,23,-116.610386,33.83464,1,HUMAN_OBSERVATION,TRAM,2013,59.22004,531,1
11521,Agelaius tricolor,Aves,Passeriformes,2020,1,4,-120.922588,36.70639,1,HUMAN_OBSERVATION,BROWN,2008,3786.915,935,3
11580,Agelaius tricolor,Aves,Passeriformes,2019,1,18,-120.827993,36.53064,1,HUMAN_OBSERVATION,NEW IDRIA,2003,632.0136,911,2
12485,Haliaeetus leucocephalus,Aves,Accipitriformes,2020,2,6,-120.48183,36.081917,1,HUMAN_OBSERVATION,MINERAL,2020,29666.84215,1111,1
18307,Colaptes chrysoides,Aves,Piciformes,2019,6,19,-115.51266,35.25319,2,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
18915,Gymnogyps californianus,Aves,Accipitriformes,2012,2,3,-119.407104,34.92114,4,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,4
19159,Colaptes chrysoides,Aves,Piciformes,1975,12,4,-115.42099,35.092037,1,HUMAN_OBSERVATION,WILDHORSE,2005,63771.3,565,31
43294,Colaptes chrysoides,Aves,Piciformes,2017,4,2,-115.60192,35.277576,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
44457,Empidonax traillii,Aves,Passeriformes,2015,6,7,-115.43524,35.131176,2,HUMAN_OBSERVATION,WILDHORSE,2005,63771.3,565,31
44521,Haliaeetus leucocephalus,Aves,Accipitriformes,2019,6,19,-121.15877,37.169483,1,HUMAN_OBSERVATION,MCCABE,2015,1728.974,997,3
44521,Haliaeetus leucocephalus,Aves,Accipitriformes,2019,6,19,-121.15877,37.169483,1,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.2556,1112,15
46067,Colaptes chrysoides,Aves,Piciformes,2019,5,26,-115.51266,35.25319,3,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
46243,Colaptes chrysoides,Aves,Piciformes,2008,4,5,-115.56999,35.347614,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
46564,Buteo swainsoni,Aves,Accipitriformes,2016,1,30,-121.03,37.062,1,HUMAN_OBSERVATION,BASALT,2004,410.184,929,22
47495,Buteo swainsoni,Aves,Accipitriformes,2014,4,5,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
47564,Melanerpes uropygialis,Aves,Piciformes,2010,2,6,-114.718895,32.727943,1,HUMAN_OBSERVATION,ALAMO,2016,136.4,360,1
47641,Agelaius tricolor,Aves,Passeriformes,2014,3,28,-121.30736,37.44076,10,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.2556,1112,15
47772,Empidonax traillii,Aves,Passeriformes,2019,5,11,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
48118,Empidonax traillii,Aves,Passeriformes,1972,6,4,-116.58022,34.044693,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,23
48357,Gymnogyps californianus,Aves,Accipitriformes,2017,10,10,-119.40669,34.928482,7,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,4
48914,Haliaeetus leucocephalus,Aves,Accipitriformes,2018,12,21,-121.07082,37.077686,1,HUMAN_OBSERVATION,SAN LUIS,2005,332.2597,727,2
48914,Haliaeetus leucocephalus,Aves,Accipitriformes,2018,12,21,-121.07082,37.077686,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873,52
48914,Haliaeetus leucocephalus,Aves,Accipitriformes,2018,12,21,-121.07082,37.077686,1,HUMAN_OBSERVATION,ROMERO,2008,766.0438,938,5
48914,Haliaeetus leucocephalus,Aves,Accipitriformes,2018,12,21,-121.07082,37.077686,1,HUMAN_OBSERVATION,ROMERO,2011,451.0401,971,1
50520,Colaptes chrysoides,Aves,Piciformes,2019,6,7,-115.51266,35.25319,2,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
51396,Haliaeetus leucocephalus,Aves,Accipitriformes,2015,1,29,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873,52
51694,Colaptes chrysoides,Aves,Piciformes,2017,4,15,-115.60192,35.277576,2,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
51865,Buteo swainsoni,Aves,Accipitriformes,2020,7,22,-121.03,37.062,1,HUMAN_OBSERVATION,BASALT,2004,410.184,929,22
51941,Agelaius tricolor,Aves,Passeriformes,1983,6,10,-118.96196,35.529922,1,HUMAN_OBSERVATION,REED,2011,5899.568,968,1
52606,Empidonax traillii,Aves,Passeriformes,1999,5,7,-116.58022,34.044693,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,23
52713,Buteo swainsoni,Aves,Accipitriformes,2013,5,20,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873,52
53958,Buteo swainsoni,Aves,Accipitriformes,2019,3,24,-121.03,37.062,1,HUMAN_OBSERVATION,BASALT,2004,410.184,929,22
54135,Empidonax traillii,Aves,Passeriformes,1974,9,19,-116.58022,34.044693,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,23
55036,Colaptes chrysoides,Aves,Piciformes,2019,5,18,-115.523964,35.269314,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
55741,Riparia riparia,Aves,Passeriformes,2019,5,27,-116.2235,35.832287,10,HUMAN_OBSERVATION,TECOPA,2010,105.7345,291,17
55904,Buteo swainsoni,Aves,Accipitriformes,2009,5,3,-119.50361,34.894096,1,HUMAN_OBSERVATION,HWY166,2004,65.16033,856,2
55996,Empidonax traillii,Aves,Passeriformes,2017,5,27,-116.2235,35.832287,1,HUMAN_OBSERVATION,TECOPA,2010,105.7345,291,17
57722,Colaptes chrysoides,Aves,Piciformes,2015,5,25,-115.51266,35.25319,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
57964,Colaptes chrysoides,Aves,Piciformes,2018,11,25,-115.51266,35.25319,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
58616,Buteo swainsoni,Aves,Accipitriformes,2013,5,20,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873,52
58734,Buteo swainsoni,Aves,Accipitriformes,2015,6,30,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873,52
60188,Buteo swainsoni,Aves,Accipitriformes,2010,5,22,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
60303,Colaptes chrysoides,Aves,Piciformes,2010,5,22,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
60704,Colaptes chrysoides,Aves,Piciformes,2017,3,17,-115.57676,35.354145,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
60858,Agelaius tricolor,Aves,Passeriformes,2003,3,8,-120.6635,37.185223,1,HUMAN_OBSERVATION,SANDY,2016,0,1107,1
61437,Haliaeetus leucocephalus,Aves,Accipitriformes,2015,12,3,-121.06041,37.08305,3,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873,52
61622,Haliaeetus leucocephalus,Aves,Accipitriformes,2019,9,7,-121.059135,37.07799,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873,52
61622,Haliaeetus leucocephalus,Aves,Accipitriformes,2019,9,7,-121.059135,37.07799,1,HUMAN_OBSERVATION,ROMERO,2008,766.0438,938,5
61680,Colaptes chrysoides,Aves,Piciformes,2013,12,28,-115.51266,35.25319,2,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
62102,Empidonax traillii,Aves,Passeriformes,2014,5,23,-119.58132,35.025692,2,HUMAN_OBSERVATION,SODA,2016,2000.281,1086,4
62450,Haliaeetus leucocephalus,Aves,Accipitriformes,2020,12,1,-121.03,37.062,1,HUMAN_OBSERVATION,BASALT,2004,410.184,929,22
63719,Agelaius tricolor,Aves,Passeriformes,2010,4,21,-117.38007,34.318535,8,HUMAN_OBSERVATION,OLD,2003,91428,512,6
63795,Empidonax traillii,Aves,Passeriformes,2018,9,26,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873,52
65513,Buteo swainsoni,Aves,Accipitriformes,2017,5,28,-120.80931,36.89789,2,HUMAN_OBSERVATION,DOS AMIGOS,2005,746.0347,721,1
65983,Buteo swainsoni,Aves,Accipitriformes,2012,4,2,-120.174,35.9561,1,HUMAN_OBSERVATION,AVENAL,2008,945.3325,941,11
67005,Haliaeetus leucocephalus,Aves,Accipitriformes,2015,3,9,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873,52
67019,Haliaeetus leucocephalus,Aves,Accipitriformes,2015,7,11,-121.06041,37.08305,2,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873,52
67063,Buteo swainsoni,Aves,Accipitriformes,2014,4,24,-121.30736,37.44076,2,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.2556,1112,15
68034,Colaptes chrysoides,Aves,Piciformes,2020,10,17,-115.51266,35.25319,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
68172,Haliaeetus leucocephalus,Aves,Accipitriformes,2015,12,3,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873,52
68230,Empidonax traillii,Aves,Passeriformes,2003,5,31,-116.46194,33.226517,1,HUMAN_OBSERVATION,PINES,2002,61691.24,263,17
69094,Colaptes chrysoides,Aves,Piciformes,2014,3,24,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
69708,Haliaeetus leucocephalus,Aves,Accipitriformes,2016,1,30,-121.03,37.062,1,HUMAN_OBSERVATION,BASALT,2004,410.184,929,22
70901,Riparia riparia,Aves,Passeriformes,2019,5,27,-116.2235,35.832287,10,HUMAN_OBSERVATION,TECOPA,2010,105.7345,291,17
71032,Empidonax traillii,Aves,Passeriformes,2013,8,31,-115.43524,35.131176,1,HUMAN_OBSERVATION,WILDHORSE,2005,63771.3,565,31
71509,Empidonax traillii,Aves,Passeriformes,1985,8,14,-115.3593,35.1476,1,HUMAN_OBSERVATION,WILDHORSE,2005,63771.3,565,31
71809,Empidonax traillii,Aves,Passeriformes,2005,5,24,-116.2235,35.832287,1,HUMAN_OBSERVATION,TECOPA,2010,105.7345,291,17
73073,Colaptes chrysoides,Aves,Piciformes,2013,8,8,-115.52253,35.26816,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
73720,Empidonax traillii,Aves,Passeriformes,2009,5,23,-120.174,35.9561,1,HUMAN_OBSERVATION,AVENAL,2008,945.3325,941,11
73819,Empidonax traillii,Aves,Passeriformes,2011,5,16,-117.45584,34.322678,3,HUMAN_OBSERVATION,BLUE CUT,2016,36266.55,414,4
73819,Empidonax traillii,Aves,Passeriformes,2011,5,16,-117.45584,34.322678,3,HUMAN_OBSERVATION,BLUE CUT,2002,6821.039,508,2
74015,Empidonax traillii,Aves,Passeriformes,2009,6,15,-116.2235,35.832287,1,HUMAN_OBSERVATION,TECOPA,2010,105.7345,291,17
74796,Empidonax traillii,Aves,Passeriformes,2005,6,2,-116.2235,35.832287,1,HUMAN_OBSERVATION,TECOPA,2010,105.7345,291,17
75406,Haliaeetus leucocephalus,Aves,Accipitriformes,2015,12,2,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873,52
75412,Colaptes chrysoides,Aves,Piciformes,2017,7,27,-115.386314,35.177177,1,HUMAN_OBSERVATION,WILDHORSE,2005,63771.3,565,31
75698,Empidonax traillii,Aves,Passeriformes,2008,5,29,-116.22368,35.83723,1,HUMAN_OBSERVATION,TECOPA,2010,105.7345,291,17
75946,Buteo swainsoni,Aves,Accipitriformes,2016,2,27,-121.06041,37.08305,2,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873,52
76062,Haliaeetus leucocephalus,Aves,Accipitriformes,2014,3,13,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873,52
76217,Empidonax traillii,Aves,Passeriformes,2001,6,2,-117.45919,34.32205,1,HUMAN_OBSERVATION,BLUE CUT,2016,36266.55,414,4
76217,Empidonax traillii,Aves,Passeriformes,2001,6,2,-117.45919,34.32205,1,HUMAN_OBSERVATION,BLUE CUT,2002,6821.039,508,2
76475,Riparia riparia,Aves,Passeriformes,2014,5,23,-116.23726,35.88015,4,HUMAN_OBSERVATION,TECOPA,2017,26.99327,392,1
77381,Colaptes chrysoides,Aves,Piciformes,2010,5,22,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
77701,Colaptes chrysoides,Aves,Piciformes,2010,5,22,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
77902,Buteo swainsoni,Aves,Accipitriformes,2009,6,23,-121.03,37.062,1,HUMAN_OBSERVATION,BASALT,2004,410.184,929,22
78221,Riparia riparia,Aves,Passeriformes,2009,4,26,-116.22368,35.83723,1,HUMAN_OBSERVATION,TECOPA,2010,105.7345,291,17
78514,Buteo swainsoni,Aves,Accipitriformes,2015,4,18,-120.174,35.9561,1,HUMAN_OBSERVATION,AVENAL,2008,945.3325,941,11
79456,Colaptes chrysoides,Aves,Piciformes,2010,4,11,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
81035,Colaptes chrysoides,Aves,Piciformes,2014,5,17,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
81296,Agelaius tricolor,Aves,Passeriformes,2017,5,2,-119.58132,35.025692,8,HUMAN_OBSERVATION,SODA,2016,2000.281,1086,4
81563,Agelaius tricolor,Aves,Passeriformes,2014,6,6,-121.30011,37.441776,3,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.2556,1112,15
83818,Empidonax traillii,Aves,Passeriformes,2002,6,11,-118.08964,36.688896,1,HUMAN_OBSERVATION,MOFFAT,2018,1253.925,351,3
83924,Buteo swainsoni,Aves,Accipitriformes,2020,9,22,-121.255264,37.448895,1,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.2556,1112,15
84072,Agelaius tricolor,Aves,Passeriformes,2012,1,17,-121.03,37.062,1,HUMAN_OBSERVATION,BASALT,2004,410.184,929,22
84263,Colaptes chrysoides,Aves,Piciformes,1972,7,5,-115.55262,35.31624,2,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
84582,Colaptes chrysoides,Aves,Piciformes,2019,5,19,-115.51266,35.25319,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
84657,Empidonax traillii,Aves,Passeriformes,2019,5,11,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
85081,Buteo swainsoni,Aves,Accipitriformes,2016,4,10,-116.5078,33.14084,1,HUMAN_OBSERVATION,STEWART,2012,10630.18,417,19
85907,Colaptes chrysoides,Aves,Piciformes,2020,6,13,-115.43697,35.163403,1,HUMAN_OBSERVATION,WILDHORSE,2005,63771.3,565,31
86225,Haliaeetus leucocephalus,Aves,Accipitriformes,2015,10,3,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873,52
86860,Buteo swainsoni,Aves,Accipitriformes,2019,4,13,-115.43524,35.131176,2,HUMAN_OBSERVATION,WILDHORSE,2005,63771.3,565,31
87102,Haliaeetus leucocephalus,Aves,Accipitriformes,2016,1,30,-121.13317,37.10022,1,HUMAN_OBSERVATION,COTTONWOOD2,2008,796.5697,939,1
87510,Agelaius tricolor,Aves,Passeriformes,2019,5,24,-117.898926,34.47154,1,HUMAN_OBSERVATION,BOBCAT,2020,115997.5701,1110,9
88530,Colaptes chrysoides,Aves,Piciformes,2017,3,18,-115.52008,35.26856,2,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
88541,Haliaeetus leucocephalus,Aves,Accipitriformes,2016,1,30,-121.03,37.062,1,HUMAN_OBSERVATION,BASALT,2004,410.184,929,22
88821,Empidonax traillii,Aves,Passeriformes,2004,6,5,-116.46194,33.226517,1,HUMAN_OBSERVATION,PINES,2002,61691.24,263,17
89057,Melanerpes uropygialis,Aves,Piciformes,2011,6,15,-114.68353,33.202213,2,HUMAN_OBSERVATION,DRAPER,2017,754.3,368,3
91335,Buteo swainsoni,Aves,Accipitriformes,2016,5,13,-121.06041,37.08305,2,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873,52
91830,Agelaius tricolor,Aves,Passeriformes,2012,4,17,-118.42872,34.70799,969,HUMAN_OBSERVATION,POWERHOUSE,2013,30267.57,418,6
92585,Empidonax traillii,Aves,Passeriformes,2017,9,24,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873,52
92605,Empidonax traillii,Aves,Passeriformes,2019,5,11,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
93193,Haliaeetus leucocephalus,Aves,Accipitriformes,2019,11,3,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873,52
94400,Haliaeetus leucocephalus,Aves,Accipitriformes,2012,2,3,-119.407104,34.92114,1,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,4
96104,Agelaius tricolor,Aves,Passeriformes,1999,3,27,-120.174,35.9561,1,HUMAN_OBSERVATION,AVENAL,2008,945.3325,941,11
96723,Colaptes chrysoides,Aves,Piciformes,1998,6,7,-115.60192,35.277576,2,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
96943,Colaptes chrysoides,Aves,Piciformes,2013,8,31,-115.51266,35.25319,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
97645,Colaptes chrysoides,Aves,Piciformes,2020,6,13,-115.51266,35.25319,2,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
97657,Agelaius tricolor,Aves,Passeriformes,1999,3,30,-120.174,35.9561,1,HUMAN_OBSERVATION,AVENAL,2008,945.3325,941,11
99187,Empidonax traillii,Aves,Passeriformes,2011,6,15,-114.68353,33.202213,1,HUMAN_OBSERVATION,DRAPER,2017,754.3,368,3
99643,Riparia riparia,Aves,Passeriformes,2013,4,10,-116.58022,34.044693,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,23
99859,Colaptes chrysoides,Aves,Piciformes,2014,6,21,-115.52318,35.26818,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
100463,Haliaeetus leucocephalus,Aves,Accipitriformes,2014,6,6,-121.30011,37.441776,1,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.2556,1112,15
100513,Colaptes chrysoides,Aves,Piciformes,2019,5,12,-115.520065,35.268368,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
100790,Colaptes chrysoides,Aves,Piciformes,2016,4,23,-115.52041,35.268417,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
100805,Colaptes chrysoides,Aves,Piciformes,1973,6,25,-115.60192,35.277576,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
102330,Empidonax traillii,Aves,Passeriformes,2012,5,26,-117.85463,34.44599,1,HUMAN_OBSERVATION,BOBCAT,2020,115997.5701,1110,9
102413,Colaptes chrysoides,Aves,Piciformes,2016,5,8,-115.51266,35.25319,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
102727,Riparia riparia,Aves,Passeriformes,2016,5,14,-117.29355,34.309288,2,HUMAN_OBSERVATION,PILOT,2016,8110.823,409,1
103641,Colaptes chrysoides,Aves,Piciformes,2018,4,10,-115.5301,35.288033,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
103751,Puma concolor,Mammalia,Carnivora,2019,7,20,-116.476837,33.152608,1,HUMAN_OBSERVATION,STEWART,2012,10630.18,417,19
103830,Cyprinodon macularius,Actinopterygii,Cyprinodontiformes,2017,4,12,-116.469246,33.314483,1,HUMAN_OBSERVATION,PINES,2002,61691.24,263,17
103830,Cyprinodon macularius,Actinopterygii,Cyprinodontiformes,2017,4,12,-116.469246,33.314483,1,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314,16
104064,Bombus crotchii,Insecta,Hymenoptera,2020,3,28,-116.548907,33.140378,1,HUMAN_OBSERVATION,PINES,2002,61691.24,263,17
104083,Uma inornata,Reptilia,Squamata,2020,2,21,-116.572821,33.999004,1,HUMAN_OBSERVATION,INDIAN 2,2005,188.7452,78,1
104502,Agelaius tricolor,Aves,Passeriformes,2010,2,25,-117.38007,34.318535,50,HUMAN_OBSERVATION,OLD,2003,91428,512,6
106676,Colaptes chrysoides,Aves,Piciformes,2015,5,25,-115.51266,35.25319,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
106858,Melanerpes uropygialis,Aves,Piciformes,2011,7,7,-114.68353,33.202213,2,HUMAN_OBSERVATION,DRAPER,2017,754.3,368,3
107091,Agelaius tricolor,Aves,Passeriformes,2011,4,17,-118.42258,34.71664,150,HUMAN_OBSERVATION,POWERHOUSE,2013,30267.57,418,6
107532,Colaptes chrysoides,Aves,Piciformes,2012,4,15,-115.528321,35.285739,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
107987,Colaptes chrysoides,Aves,Piciformes,1973,6,25,-115.60192,35.277576,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
108433,Anaxyrus californicus,Amphibia,Anura,2019,7,11,-117.265119,34.350382,1,HUMAN_OBSERVATION,LOS FLORES,2007,4099.966,73,1
108579,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2020,12,22,-116.555203,33.71988,1,HUMAN_OBSERVATION,MOUNTAIN,2013,27523.67,331,3
108752,Buteo swainsoni,Aves,Accipitriformes,2016,1,30,-121.03,37.062,1,HUMAN_OBSERVATION,BASALT,2004,410.184,929,22
108767,Haliaeetus leucocephalus,Aves,Accipitriformes,2015,12,3,-121.06041,37.08305,3,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873,52
109074,Empidonax traillii,Aves,Passeriformes,2019,5,11,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
109163,Haliaeetus leucocephalus,Aves,Accipitriformes,2019,10,28,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873,52
109402,Puma concolor,Mammalia,Carnivora,2021,5,22,-116.496596,33.128107,1,HUMAN_OBSERVATION,STEWART,2012,10630.18,417,19
109412,Puma concolor,Mammalia,Carnivora,2018,11,3,-116.475664,33.152238,1,HUMAN_OBSERVATION,STEWART,2012,10630.18,417,19
109666,Puma concolor,Mammalia,Carnivora,2018,2,17,-116.483107,33.155196,1,HUMAN_OBSERVATION,STEWART,2012,10630.18,417,19
109826,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2009,11,26,-116.70201,33.906552,1,HUMAN_OBSERVATION,VERBENIA,2004,3831.371,82,2
110172,Gopherus agassizii,Reptilia,Testudines,2021,3,7,-116.647241,33.937689,1,HUMAN_OBSERVATION,VIEW,2012,376.1476,400,1
110254,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2019,11,15,-116.456347,33.314352,1,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314,16
111414,Colaptes chrysoides,Aves,Piciformes,2000,7,4,-115.51266,35.25319,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109,125
111621,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2016,4,24,-116.514808,33.345671,1,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314,16
111762,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2021,1,1,-116.497637,33.342772,1,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314,16
111984,Ammospermophilus nelsoni,Mammalia,Rodentia,2015,1,31,-120.928309,36.717083,1,HUMAN_OBSERVATION,BROWN,2008,3786.915,935,3
112301,Anaxyrus californicus,Amphibia,Anura,2018,5,22,-117.394661,34.310097,1,HUMAN_OBSERVATION,OLD,2003,91428,512,6
